VideoNum,reviewer,DP,BD,E,FS,A,RC,sumScore
559,Steinberg,3,4,4,4,5,4,24
559,Johnson,3,4,4,4,5,4,24
559,Garbens,5,5,5,5,5,5,30
559,Gahan,3,4,3,3,3,3,19
562,Garbens,2,2,3,3,4,3,17
578,Garbens,2,2,1,2,3,1,11
599,Garbens,3,3,2,3,3,2,16
615,Steinberg,4,5,5,5,5,5,29
615,Johnson,3,3,2,3,4,4,19
615,Garbens,5,5,5,5,5,5,30
615,Gahan,4,4,3,4,5,4,24
632,Garbens,4,3,3,3,5,4,22
689,Steinberg,1,2,1,1,1,2,8
689,Johnson,1,2,2,1,3,1,10
689,Garbens,3,2,2,1,2,1,11
689,Gahan,1,1,1,1,1,1,6
716,Steinberg,2,2,3,2,2,2,13
716,Johnson,1,1,1,2,2,2,9
716,Garbens,4,3,3,4,4,3,21
716,Gahan,3,3,2,2,3,3,16
717,Steinberg,2,1,1,1,1,1,7
717,Johnson,2,2,2,2,3,2,13
717,Garbens,3,2,1,1,2,1,10
717,Gahan,3,2,2,1,2,2,12
742,Steinberg,5,5,5,5,5,5,30
742,Johnson,5,5,5,4,5,5,29
742,Garbens,5,5,5,5,5,5,30
742,Gahan,4,3,4,4,4,4,23
761,Steinberg,2,1,1,2,1,1,8
761,Johnson,1,1,2,2,3,2,11
761,Garbens,4,2,2,2,3,2,15
761,Gahan,2,1,1,1,2,1,8
820,Steinberg,3,3,3,4,3,4,20
820,Johnson,4,3,3,3,4,4,21
820,Garbens,5,4,4,2,5,3,23
820,Gahan,3,4,4,3,4,3,21
861,Steinberg,3,4,4,5,5,4,25
861,Johnson,3,3,2,4,4,3,19
861,Garbens,5,5,4,5,5,4,28
861,Gahan,3,3,4,3,4,3,20
881,Steinberg,1,2,2,1,2,2,10
881,Johnson,1,1,1,1,1,1,6
881,Garbens,4,2,3,3,4,3,19
881,Gahan,2,1,1,1,2,2,9
895,Steinberg,3,2,2,2,2,2,13
895,Johnson,4,2,2,4,4,3,19
895,Garbens,5,3,3,4,4,2,21
895,Gahan,2,2,1,1,2,2,10
921,Steinberg,4,4,4,4,5,4,25
921,Johnson,3,3,2,4,4,4,20
921,Garbens,5,4,5,4,5,5,28
921,Gahan,4,3,3,3,4,3,20
924,Gahan,3,3,2,2,2,3,15
928,Steinberg,2,2,2,1,1,2,10
928,Johnson,1,2,3,2,3,2,13
928,Garbens,3,3,2,1,3,2,14
928,Gahan,1,2,1,1,2,1,8
942,Steinberg,3,2,2,1,2,3,13
942,Johnson,3,3,3,2,5,3,19
942,Garbens,4,3,3,2,4,2,18
